date,permno,ticker,prc,ret,vol
2012-01-03,52476,EFX,38.83,0.002323,641500.0
2012-01-04,52476,EFX,38.43,-0.010301,811300.0
2012-01-05,52476,EFX,38.42,-0.00026,900000.0
2012-01-06,52476,EFX,38.94,0.013535,706400.0
2012-01-09,52476,EFX,38.96,0.000514,410700.0
2012-01-10,52476,EFX,39.58,0.015914,640300.0
2012-01-11,52476,EFX,39.35,-0.005811,569700.0
2012-01-12,52476,EFX,39.09,-0.006607,675500.0
2012-01-13,52476,EFX,38.94,-0.003837,481700.0
2012-01-17,52476,EFX,39.13,0.004879,471900.0
2012-01-18,52476,EFX,39.17,0.001022,526400.0
2012-01-19,52476,EFX,39.83,0.01685,652700.0
2012-01-20,52476,EFX,39.54,-0.007281,465200.0
2012-01-23,52476,EFX,39.42,-0.003035,377200.0
2012-01-24,52476,EFX,39.36,-0.001522,621300.0
2012-01-25,52476,EFX,39.77,0.010417,351000.0
2012-01-26,52476,EFX,39.26,-0.012824,486200.0
2012-01-27,52476,EFX,39.32,0.001528,605000.0
2012-01-30,52476,EFX,39.22,-0.002543,489200.0
2012-01-31,52476,EFX,38.97,-0.006374,742100.0
2012-02-01,52476,EFX,39.52,0.014113,649200.0
2012-02-02,52476,EFX,39.1,-0.010628,628500.0
2012-02-03,52476,EFX,39.64,0.013811,937200.0
2012-02-06,52476,EFX,39.72,0.002018,731500.0
2012-02-07,52476,EFX,39.67,-0.001259,399500.0
2012-02-08,52476,EFX,39.4,-0.006806,915400.0
2012-02-09,52476,EFX,42.41,0.076396,2044900.0
2012-02-10,52476,EFX,42.63,0.005187,2004600.0
2012-02-13,52476,EFX,42.85,0.005161,964800.0
2012-02-14,52476,EFX,42.85,0.0,759200.0
2012-02-15,52476,EFX,42.04,-0.018903,609600.0
2012-02-16,52476,EFX,42.56,0.012369,449500.0
2012-02-17,52476,EFX,42.63,0.001645,728600.0
2012-02-21,52476,EFX,42.2,-0.005864,554900.0
2012-02-22,52476,EFX,42.35,0.003554,616800.0
2012-02-23,52476,EFX,42.4,0.001181,375100.0
2012-02-24,52476,EFX,42.39,-0.000236,373100.0
2012-02-27,52476,EFX,42.4,0.000236,443500.0
2012-02-28,52476,EFX,42.45,0.001179,434500.0
2012-02-29,52476,EFX,42.04,-0.009658,610200.0
2012-03-01,52476,EFX,42.57,0.012607,629100.0
2012-03-02,52476,EFX,41.84,-0.017148,747000.0
2012-03-05,52476,EFX,42.02,0.004302,435400.0
2012-03-06,52476,EFX,41.39,-0.014993,606000.0
2012-03-07,52476,EFX,41.84,0.010872,366400.0
2012-03-08,52476,EFX,42.53,0.016491,866400.0
2012-03-09,52476,EFX,42.63,0.002351,737300.0
2012-03-12,52476,EFX,44.09,0.034248,1932900.0
2012-03-13,52476,EFX,44.26,0.003856,890100.0
2012-03-14,52476,EFX,43.9,-0.008134,685000.0
2012-03-15,52476,EFX,44.2,0.006834,827400.0
2012-03-16,52476,EFX,43.95,-0.005656,1151600.0
2012-03-19,52476,EFX,43.87,-0.00182,980500.0
2012-03-20,52476,EFX,43.64,-0.005243,698600.0
