date,permno,ticker,prc,ret,vol
2012-01-03,90162,GNW,6.84,0.044275,9126400.0
2012-01-04,90162,GNW,6.75,-0.013158,6298000.0
2012-01-05,90162,GNW,6.96,0.031111,8273200.0
2012-01-06,90162,GNW,6.77,-0.027299,6729300.0
2012-01-09,90162,GNW,6.77,0.0,3884500.0
2012-01-10,90162,GNW,7.27,0.073855,8636900.0
2012-01-11,90162,GNW,7.8,0.072902,11939900.0
2012-01-12,90162,GNW,7.72,-0.010257,9770900.0
2012-01-13,90162,GNW,7.51,-0.027202,8574600.0
2012-01-17,90162,GNW,7.53,0.002663,6921600.0
2012-01-18,90162,GNW,7.82,0.038513,8089800.0
2012-01-19,90162,GNW,8.17,0.044757,10713100.0
2012-01-20,90162,GNW,8.24,0.008568,8147300.0
2012-01-23,90162,GNW,8.22,-0.002427,6240400.0
2012-01-24,90162,GNW,8.24,0.002433,6520500.0
2012-01-25,90162,GNW,8.06,-0.021845,11290600.0
2012-01-26,90162,GNW,7.8,-0.032258,10632900.0
2012-01-27,90162,GNW,7.83,0.003846,12102200.0
2012-01-30,90162,GNW,7.65,-0.022989,8089600.0
2012-01-31,90162,GNW,7.71,0.007843,7267500.0
2012-02-01,90162,GNW,7.99,0.036316,8486800.0
2012-02-02,90162,GNW,8.04,0.006258,7584800.0
2012-02-03,90162,GNW,9.17,0.140547,29104900.0
2012-02-06,90162,GNW,8.94,-0.025082,12270100.0
2012-02-07,90162,GNW,8.95,0.001119,7556700.0
2012-02-08,90162,GNW,8.9,-0.005587,8679600.0
2012-02-09,90162,GNW,8.91,0.001124,16513200.0
2012-02-10,90162,GNW,8.735,-0.019641,9980300.0
2012-02-13,90162,GNW,9.04,0.034917,11098200.0
2012-02-14,90162,GNW,8.88,-0.017699,8956900.0
2012-02-15,90162,GNW,8.82,-0.006757,7607200.0
2012-02-16,90162,GNW,9.03,0.02381,10018600.0
2012-02-17,90162,GNW,9.22,0.021041,10884800.0
2012-02-21,90162,GNW,9.54,0.034707,14337400.0
2012-02-22,90162,GNW,9.2,-0.035639,7474500.0
2012-02-23,90162,GNW,9.34,0.015217,6735700.0
2012-02-24,90162,GNW,9.14,-0.021413,5310300.0
2012-02-27,90162,GNW,9.03,-0.012035,8070700.0
2012-02-28,90162,GNW,8.96,-0.007752,6403300.0
2012-02-29,90162,GNW,9.09,0.014509,8951500.0
2012-03-01,90162,GNW,9.1,0.0011,8426000.0
2012-03-02,90162,GNW,8.96,-0.015385,7053100.0
2012-03-05,90162,GNW,8.91,-0.00558,6626200.0
2012-03-06,90162,GNW,8.565,-0.038721,6926500.0
2012-03-07,90162,GNW,8.68,0.013427,6104300.0
2012-03-08,90162,GNW,8.91,0.026498,11292300.0
2012-03-09,90162,GNW,8.9,-0.001122,10925400.0
2012-03-12,90162,GNW,8.81,-0.010112,5250100.0
