date,permno,ticker,prc,ret,vol
2012-01-03,92619,GTE,5.07,0.05625,805900.0
2012-01-04,92619,GTE,5.0,-0.013807,1361800.0
2012-01-05,92619,GTE,5.01,0.002,701100.0
2012-01-06,92619,GTE,4.89,-0.023952,784700.0
2012-01-09,92619,GTE,4.95,0.01227,645700.0
2012-01-10,92619,GTE,5.01,0.012121,375100.0
2012-01-11,92619,GTE,4.87,-0.027944,861600.0
2012-01-12,92619,GTE,4.85,-0.004107,1373900.0
2012-01-13,92619,GTE,4.73,-0.024742,814600.0
2012-01-17,92619,GTE,4.82,0.019028,768200.0
2012-01-18,92619,GTE,5.09,0.056017,819500.0
2012-01-19,92619,GTE,5.35,0.051081,1410500.0
2012-01-20,92619,GTE,5.36,0.001869,692700.0
2012-01-23,92619,GTE,5.41,0.009328,798100.0
2012-01-24,92619,GTE,5.24,-0.031423,513100.0
2012-01-25,92619,GTE,5.5,0.049618,812800.0
2012-01-26,92619,GTE,5.58,0.014545,955800.0
2012-01-27,92619,GTE,5.64,0.010753,667100.0
2012-01-30,92619,GTE,5.5,-0.024823,348900.0
2012-01-31,92619,GTE,5.77,0.049091,691900.0
2012-02-01,92619,GTE,5.79,0.003466,1054200.0
2012-02-02,92619,GTE,5.87,0.013817,647300.0
2012-02-03,92619,GTE,5.95,0.013629,666400.0
2012-02-06,92619,GTE,5.85,-0.016807,692800.0
2012-02-07,92619,GTE,5.87,0.003419,574000.0
2012-02-08,92619,GTE,5.79,-0.013629,775400.0
2012-02-09,92619,GTE,5.8,0.001727,427600.0
2012-02-10,92619,GTE,5.66,-0.024138,759000.0
2012-02-13,92619,GTE,5.67,0.001767,725900.0
2012-02-14,92619,GTE,5.66,-0.001764,416300.0
2012-02-15,92619,GTE,5.79,0.022968,548000.0
2012-02-16,92619,GTE,5.85,0.010363,643900.0
2012-02-17,92619,GTE,5.91,0.010256,500200.0
2012-02-21,92619,GTE,6.0,0.015229,903500.0
2012-02-22,92619,GTE,5.97,-0.005,278400.0
2012-02-23,92619,GTE,5.84,-0.021776,585800.0
2012-02-24,92619,GTE,5.79,-0.008562,724400.0
2012-02-27,92619,GTE,6.01,0.037997,1953700.0
2012-02-28,92619,GTE,5.79,-0.036606,2431400.0
2012-02-29,92619,GTE,5.83,0.006908,1740100.0
2012-03-01,92619,GTE,6.0,0.02916,771000.0
2012-03-02,92619,GTE,5.77,-0.038333,697700.0
2012-03-05,92619,GTE,5.73,-0.006932,1089400.0
2012-03-06,92619,GTE,5.56,-0.029668,1383200.0
2012-03-07,92619,GTE,5.81,0.044964,933300.0
2012-03-08,92619,GTE,6.12,0.053356,1512400.0
2012-03-09,92619,GTE,6.25,0.021242,740600.0
2012-03-12,92619,GTE,6.1,-0.024,482400.0
2012-03-13,92619,GTE,6.17,0.011475,626000.0
2012-03-14,92619,GTE,6.08,-0.014587,454800.0
2012-03-15,92619,GTE,6.08,0.0,473700.0
2012-03-16,92619,GTE,5.98,-0.016447,746000.0
2012-03-19,92619,GTE,6.07,0.01505,726800.0
2012-03-20,92619,GTE,6.01,-0.009885,611000.0
2012-03-21,92619,GTE,6.01,0.0,292500.0
2012-03-22,92619,GTE,5.89,-0.019967,342500.0
2012-03-23,92619,GTE,6.03,0.023769,700700.0
2012-03-26,92619,GTE,6.14,0.018242,932400.0
2012-03-27,92619,GTE,6.05,-0.014658,468300.0
2012-03-28,92619,GTE,5.94,-0.018182,534500.0
2012-03-29,92619,GTE,5.84,-0.016835,916300.0
2012-03-30,92619,GTE,6.29,0.077055,1266300.0
2012-04-02,92619,GTE,6.41,0.019078,1183100.0
2012-04-03,92619,GTE,6.39,-0.00312,697400.0
2012-04-04,92619,GTE,6.16,-0.035994,566600.0
2012-04-05,92619,GTE,6.2,0.006494,385200.0
2012-04-09,92619,GTE,6.0,-0.032258,274100.0
2012-04-10,92619,GTE,5.89,-0.018333,489700.0
2012-04-11,92619,GTE,6.0,0.018676,473700.0
2012-04-12,92619,GTE,6.48,0.08,1900400.0
2012-04-13,92619,GTE,6.35,-0.020062,633100.0
2012-04-16,92619,GTE,6.34,-0.001575,1161900.0
2012-04-17,92619,GTE,6.3,-0.006309,932600.0
2012-04-18,92619,GTE,6.1,-0.031746,1141000.0
2012-04-19,92619,GTE,6.18,0.013115,454700.0
2012-04-20,92619,GTE,6.37,0.030744,767600.0
2012-04-23,92619,GTE,6.33,-0.006279,484200.0
2012-04-24,92619,GTE,6.31,-0.00316,383300.0
2012-04-25,92619,GTE,6.42,0.017433,549400.0
2012-04-26,92619,GTE,6.64,0.034268,852600.0
2012-04-27,92619,GTE,6.47,-0.025602,528300.0
2012-04-30,92619,GTE,6.45,-0.003091,400000.0
2012-05-01,92619,GTE,6.47,0.003101,1313500.0
2012-05-02,92619,GTE,6.35,-0.018547,779100.0
2012-05-03,92619,GTE,6.13,-0.034646,1052700.0
2012-05-04,92619,GTE,6.05,-0.013051,1018200.0
2012-05-07,92619,GTE,5.97,-0.013223,1153200.0
2012-05-08,92619,GTE,5.87,-0.01675,2451100.0
2012-05-09,92619,GTE,5.49,-0.064736,1798600.0
2012-05-10,92619,GTE,5.6,0.020037,1261800.0
2012-05-11,92619,GTE,5.56,-0.007143,558000.0
2012-05-14,92619,GTE,5.24,-0.057554,838900.0
2012-05-15,92619,GTE,4.99,-0.04771,669600.0
2012-05-16,92619,GTE,5.07,0.016032,893600.0
2012-05-17,92619,GTE,4.91,-0.031558,577400.0
2012-05-18,92619,GTE,4.75,-0.032587,656900.0
2012-05-21,92619,GTE,5.01,0.054737,581000.0
2012-05-22,92619,GTE,4.94,-0.013972,695200.0
2012-05-23,92619,GTE,5.11,0.034413,491200.0
2012-05-24,92619,GTE,4.99,-0.023483,807200.0
2012-05-25,92619,GTE,5.07,0.016032,321400.0
2012-05-29,92619,GTE,5.22,0.029586,708600.0
2012-05-30,92619,GTE,5.03,-0.036398,1127300.0
2012-05-31,92619,GTE,5.05,0.003976,722100.0
2012-06-01,92619,GTE,4.75,-0.059406,600700.0
2012-06-04,92619,GTE,4.72,-0.006316,555300.0
2012-06-05,92619,GTE,4.83,0.023305,423800.0
