date,permno,ticker,prc,ret,vol
2012-01-03,79094,JBL,20.11,0.022889,2823700.0
2012-01-04,79094,JBL,20.18,0.003481,3384100.0
2012-01-05,79094,JBL,20.76,0.028741,3852300.0
2012-01-06,79094,JBL,20.87,0.005299,2662900.0
2012-01-09,79094,JBL,21.33,0.022041,3698400.0
2012-01-10,79094,JBL,21.43,0.004688,1979400.0
2012-01-11,79094,JBL,21.48,0.002333,1503100.0
2012-01-12,79094,JBL,21.5,0.000931,1716100.0
2012-01-13,79094,JBL,21.04,-0.021395,2023800.0
2012-01-17,79094,JBL,21.68,0.030418,3206600.0
2012-01-18,79094,JBL,22.36,0.031365,4327800.0
2012-01-19,79094,JBL,23.15,0.035331,5244100.0
2012-01-20,79094,JBL,23.0,-0.006479,3112500.0
2012-01-23,79094,JBL,23.11,0.004783,2028500.0
2012-01-24,79094,JBL,23.17,0.002596,1578600.0
2012-01-25,79094,JBL,23.05,-0.005179,5136700.0
2012-01-26,79094,JBL,22.62,-0.018655,3012200.0
2012-01-27,79094,JBL,22.8,0.007957,1394900.0
2012-01-30,79094,JBL,22.5,-0.013158,1585700.0
2012-01-31,79094,JBL,22.66,0.007111,2197200.0
2012-02-01,79094,JBL,23.28,0.027361,3514900.0
2012-02-02,79094,JBL,23.13,-0.006443,1880600.0
2012-02-03,79094,JBL,24.12,0.042802,3132500.0
2012-02-06,79094,JBL,23.82,-0.012438,2091100.0
2012-02-07,79094,JBL,23.83,0.00042,2048800.0
2012-02-08,79094,JBL,23.97,0.005875,1992100.0
2012-02-09,79094,JBL,24.87,0.037547,4673000.0
2012-02-10,79094,JBL,24.72,-0.006031,3843200.0
2012-02-13,79094,JBL,25.16,0.017799,3020400.0
2012-02-14,79094,JBL,25.03,-0.001987,2680800.0
2012-02-15,79094,JBL,25.36,0.013184,4549200.0
2012-02-16,79094,JBL,25.9,0.021293,2654800.0
2012-02-17,79094,JBL,26.03,0.005019,2480600.0
2012-02-21,79094,JBL,25.91,-0.00461,3074500.0
2012-02-22,79094,JBL,25.69,-0.008491,1570400.0
2012-02-23,79094,JBL,25.99,0.011678,1858300.0
2012-02-24,79094,JBL,26.01,0.00077,2186900.0
2012-02-27,79094,JBL,25.84,-0.006536,2072600.0
2012-02-28,79094,JBL,26.24,0.01548,2616100.0
2012-02-29,79094,JBL,25.83,-0.015625,2557400.0
2012-03-01,79094,JBL,26.12,0.011227,3458800.0
2012-03-02,79094,JBL,25.98,-0.00536,3420000.0
2012-03-05,79094,JBL,25.4,-0.022325,4396300.0
2012-03-06,79094,JBL,24.72,-0.026772,4631800.0
2012-03-07,79094,JBL,25.1,0.015372,2837400.0
2012-03-08,79094,JBL,25.55,0.017928,1697700.0
2012-03-09,79094,JBL,26.16,0.023875,2970000.0
2012-03-12,79094,JBL,26.22,0.002294,2209700.0
2012-03-13,79094,JBL,26.92,0.026697,3606600.0
2012-03-14,79094,JBL,26.82,-0.003715,3601500.0
2012-03-15,79094,JBL,27.03,0.00783,2760200.0
2012-03-16,79094,JBL,26.82,-0.007769,1740200.0
2012-03-19,79094,JBL,27.13,0.011559,2195400.0
2012-03-20,79094,JBL,26.49,-0.02359,4187100.0
2012-03-21,79094,JBL,25.88,-0.023028,7167700.0
2012-03-22,79094,JBL,25.51,-0.014297,3789500.0
2012-03-23,79094,JBL,25.5,-0.000392,2685600.0
2012-03-26,79094,JBL,25.7,0.007843,2367300.0
2012-03-27,79094,JBL,25.55,-0.005837,2434400.0
2012-03-28,79094,JBL,25.13,-0.016438,2851800.0
2012-03-29,79094,JBL,25.17,0.001592,2510600.0
2012-03-30,79094,JBL,25.12,-0.001986,3098400.0
2012-04-02,79094,JBL,25.41,0.011545,2199700.0
2012-04-03,79094,JBL,25.0,-0.016135,4729100.0
2012-04-04,79094,JBL,24.41,-0.0236,2497600.0
2012-04-05,79094,JBL,24.2,-0.008603,1585000.0
2012-04-09,79094,JBL,23.77,-0.017769,3265300.0
2012-04-10,79094,JBL,22.91,-0.03618,4149400.0
2012-04-11,79094,JBL,22.97,0.002619,2578900.0
2012-04-12,79094,JBL,23.37,0.017414,1729200.0
2012-04-13,79094,JBL,23.03,-0.014549,1949400.0
2012-04-16,79094,JBL,23.07,0.001737,2265100.0
2012-04-17,79094,JBL,23.42,0.015171,2994600.0
2012-04-18,79094,JBL,22.74,-0.029035,2462200.0
2012-04-19,79094,JBL,22.44,-0.013193,4164300.0
2012-04-20,79094,JBL,22.58,0.006239,3093800.0
2012-04-23,79094,JBL,22.16,-0.018601,2890500.0
2012-04-24,79094,JBL,21.81,-0.015794,3913300.0
2012-04-25,79094,JBL,23.08,0.05823,4853500.0
2012-04-26,79094,JBL,23.47,0.016898,3399800.0
2012-04-27,79094,JBL,23.58,0.004687,2428900.0
2012-04-30,79094,JBL,23.45,-0.005513,2712400.0
2012-05-01,79094,JBL,23.47,0.000853,2006900.0
2012-05-02,79094,JBL,23.7,0.0098,2261200.0
2012-05-03,79094,JBL,22.86,-0.035443,2502100.0
2012-05-04,79094,JBL,21.66,-0.052494,3385100.0
2012-05-07,79094,JBL,21.08,-0.026778,4151600.0
2012-05-08,79094,JBL,21.18,0.004744,3387200.0
2012-05-09,79094,JBL,20.87,-0.014636,2620700.0
