date,permno,ticker,prc,ret,vol
2012-01-03,93380,JKS,5.25,0.05,812000.0
2012-01-04,93380,JKS,5.07,-0.034286,583000.0
2012-01-05,93380,JKS,4.99,-0.015779,398100.0
2012-01-06,93380,JKS,5.06,0.014028,348200.0
2012-01-09,93380,JKS,5.17,0.021739,228700.0
2012-01-10,93380,JKS,5.21,0.007737,560200.0
2012-01-11,93380,JKS,6.88,0.320537,3790300.0
2012-01-12,93380,JKS,7.02,0.020349,1431800.0
2012-01-13,93380,JKS,6.65,-0.052707,1388100.0
2012-01-17,93380,JKS,6.8,0.022556,802200.0
2012-01-18,93380,JKS,7.24,0.064706,1193300.0
2012-01-19,93380,JKS,6.5,-0.10221,1462700.0
2012-01-20,93380,JKS,6.25,-0.038462,776800.0
2012-01-23,93380,JKS,6.17,-0.0128,406400.0
2012-01-24,93380,JKS,6.08,-0.014587,311000.0
2012-01-25,93380,JKS,5.92,-0.026316,454600.0
2012-01-26,93380,JKS,6.18,0.043919,660900.0
2012-01-27,93380,JKS,6.83,0.105178,1310100.0
2012-01-30,93380,JKS,6.6,-0.033675,817700.0
2012-01-31,93380,JKS,6.39,-0.031818,698100.0
2012-02-01,93380,JKS,6.51,0.018779,406800.0
2012-02-02,93380,JKS,7.09,0.089094,909400.0
2012-02-03,93380,JKS,7.17,0.011284,1778100.0
2012-02-06,93380,JKS,7.6,0.059972,1243100.0
2012-02-07,93380,JKS,7.96,0.047368,1247100.0
2012-02-08,93380,JKS,8.6,0.080402,1775700.0
2012-02-09,93380,JKS,10.07,0.17093,3658100.0
2012-02-10,93380,JKS,9.38,-0.06852,1016300.0
2012-02-13,93380,JKS,9.0,-0.040512,577200.0
2012-02-14,93380,JKS,7.96,-0.115556,903300.0
2012-02-15,93380,JKS,8.18,0.027638,412900.0
2012-02-16,93380,JKS,8.11,-0.008558,345200.0
2012-02-17,93380,JKS,8.81,0.086313,1212300.0
2012-02-21,93380,JKS,9.28,0.053348,656900.0
2012-02-22,93380,JKS,8.78,-0.053879,509700.0
2012-02-23,93380,JKS,8.03,-0.085421,658000.0
2012-02-24,93380,JKS,7.81,-0.027397,640700.0
2012-02-27,93380,JKS,7.46,-0.044814,795400.0
2012-02-28,93380,JKS,7.64,0.024129,541400.0
2012-02-29,93380,JKS,7.28,-0.04712,322200.0
2012-03-01,93380,JKS,7.21,-0.009615,225600.0
2012-03-02,93380,JKS,6.99,-0.030513,368000.0
2012-03-05,93380,JKS,6.65,-0.048641,293300.0
2012-03-06,93380,JKS,6.29,-0.054135,619900.0
2012-03-07,93380,JKS,5.95,-0.054054,583900.0
2012-03-08,93380,JKS,5.54,-0.068908,1066600.0
2012-03-09,93380,JKS,6.01,0.084838,596400.0
2012-03-12,93380,JKS,6.25,0.039933,748800.0
2012-03-13,93380,JKS,6.62,0.0592,591900.0
2012-03-14,93380,JKS,6.438,-0.027492,393100.0
2012-03-15,93380,JKS,6.53,0.01429,261400.0
2012-03-16,93380,JKS,6.75,0.033691,735800.0
2012-03-19,93380,JKS,6.57,-0.026667,221400.0
2012-03-20,93380,JKS,6.94,0.056317,1334300.0
2012-03-21,93380,JKS,6.42,-0.074928,415800.0
2012-03-22,93380,JKS,6.42,0.0,218100.0
2012-03-23,93380,JKS,6.59,0.02648,257400.0
2012-03-26,93380,JKS,6.54,-0.007587,485300.0
